id,sent0,sent1
1056,I ate lemon and my teeth turned yellow,I ate watermelon and my teeth turned yellow
1057,she took off socks and washed her hands,she took off gloves and washed her hands
1058,the cow jumped over the moon and escaped,the cow jumped over the fence and escaped
1059,he left her a lot of bills in his will,he left her a lot of money in his will
1060,the little girl tiptoed and rang the bell,the little girl squatted and rang the bell
1061,he stretched out on the economy class of the flight,he stretched out on the first class of the flight
1062,he walked through the hallway to another room,he walked through the railway to another room
1063,the ground was covered with sugar overnight,the ground was covered with snow overnight
1064,the garden of flowers is in the middle of the table,the bouquet of flowers is in the middle of the table
1065,Tom wore pajamas for a job interview yesterday,Tom wore a suit for a job interview yesterday
1066,she put the guitar on the top of the shelf,she put the guitar on the top of the mountain
1067,he ate some sleeping pills in order not to fall asleep,he ate some coffee beans in order not to fall asleep
1068,she got a good grade after a semester of hard study,she got a bad grade after a semester of hard study
1069,her new song was popular on the theater screen,her new movie was popular on the theater screen
1070,it's 12 o'clock and the new year is coming,it's 6 o'clock and the new year is coming
1071,the bird built a nest on the top of the tree,the bird built a nest on the bottom of the tree
1072,she turned on the light and the room became bright,she turned on the radio and the room became bright
1073,he used a surfboard to surf the internet,he used a browser to surf the internet
1074,he pressed the accelerator to slow the car down,he pressed the brake to slow the car down
1075,I remember they built a snowman last winter,I remember they built a snowman last summer
1076,he found he had less money after he paid the bill,he found he had more money after he paid the bill
1077,she walked to the gas station to refuel her car,she drove to the gas station to refuel her car
1078,after one year of exercise he became strong,after one day of exercise he became strong
1079,he opened his umbrella when it started to rain,he folded his umbrella when it started to rain
1080,she is a vegetarian and refuses to eat food,she is a vegetarian and refuses to eat meat
1081,he ran out of cola while driving to work so he walked there,he ran out of gas while driving to work so he walked there
1082,mark is a pilot and he assembled an aircraft,mark is a pilot and he flew an aircraft
1083,jim wrote a message with a pencil on a piece of paper,jim wrote a message with a finger on a piece of paper
