id,FalseSent,OptionA,OptionB,OptionC
721,The land is very barren so the grain grows very well,the district is fertile of wheat,It is hard for grain to grow on barren land,It is hard for me to plane grain without any help
722,The Equatorial areas are very cold,The vegetation on the equatorial areas is very rich,The equatorial areas is the hottest place on earth,It is very cold this winter
723,The desk is for sleeping on,my desk is very comfortable for me,we usually sleep on the bed,I have been working all day
724,I am full so I want to eat right away,people who are full are tired with eating delicious food,People who are full do not want to eat,The refrigerator is full of food
725,Somebody is sleeping so we should keep voice up,keeping voice up when chatting is tiring,We should not disturb sleepers,We should keep good sleeping posture
726,people want to have rude neighbors,girls like rude boys,Our teacher is very kind to us all the time,Rude neighbors can disrupt your life
727,the poor have a lot of money,The poor and the rich are equal,We should not discriminate against the poor,People without wealth are called the poor
728,We should wear formal clothes at home,I am dressed formally today,you are able to dress casually at home,I wore too many clothes in the company yesterday
729,Our government is very credible so we distrust it very much,We should believe in truth,People trust a credible government,our government Serves the People well
730,These people are bad for me so I can trust him,My grandmother has always been very kind to me,We should be on guard against bad people,the Mathematics teacher is not kind to me
731,He was so stupid that he quickly understood the nature of the problem,Stupid people have poor comprehension,My students are very smart,It took him a long time to figure out the truth of the matter
732,This restaurant is so unpopular that it is crowded every day,Michelin restaurant is very popular,The fruit salad in that restaurant is very popular,Few people go to unpopular restaurants
733,You are likely to find a cow around in any room of the house,The cows live in the cowshed instead of the house,You will probably find a light in any room of the house,cows eat grasses
734,Autobiography is not real,The Autobiography is so wonderful that I read it day and night,An autobiography records a person's real life,Autobiographies can sometimes be boring
735,Gloves can protect the head,My gloves are so ugly that I don't want to wear them,Gloves are worn on your hands,My mother bought me a hat yesterday
736,The law allows us to kill people,We can't break the law,we are not allowed to play football in the classroom,If you kill somebody you have to go to jail
737,A fox is a faithful companion,foxes run slowly,Foxes are usually very cunning,My mother had three foxes a few years ago
738,Drinking too much water can make people drunk,we need to drink water every day,There is no alcohol in water,I never drink
739,people want a dirty bathroom,Our bathroom is big and clean,people will feel uncomfortable in a dirty bathroom,I take a bath in the bathroom every day to clean the dirt of my body
740,I am five years old so I am very old,five years are short for humans' live circle,I may die when I'm six years old by an accident,My child is five years old
741,You would listen to music because it is torturing,I listen to English songs every day to improve my listening,People don't do things that make them miserable,I like listening to classical music
742,People cry when they are happy,Babies cry all the time when they are born,I dislike girls who love to cry,Crying usually expresses sadness
743,A easy job is stressful,We don't need to worry about too much about doing simple things,My mother works late every night so she is really stressed out,it is not easy to find a good job in Canada these days
744,I am a left-handed person so I write with my right hand,Left-handed people are better at using their left hand,I'm good at playing basketball so I can dribble with my left and right hands skillfully,My left hand was injured a year ago
