Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
A person wants a crispy potato chip,A person wants a crispy metals,Metals are not edible,Metals are very hard to chew,Metals cannot be eaten,People do not eat metal.,Metal isn't crispy nor something people would want to eat.
The moon revolves around the earth,The earth revolves around the moon,The earth is larger than the moon so it's gravity influences the moon more.,The moon is grey and the earth is blue,the moon may be made of cheese,The earth revolves around the sun.,The moon revolves around the earth.
Diarrhoea is often caused by bacteria.,Diarrhoea is often caused by eating healthy food.,Healthy food does not cause diarrhoea.,"Bacteria are of different shapes, while diarrhoea is of different types.",Diarrhoea tends to occur after eating,"Healthy food aids digestion, not hinder it",Healthy food does not cause diarrhoea.
I put some eggs into the omelete.,I put some oatmeal into the omelette.,Omelettes are not made with oatmeal.,Cookies are made with oatmeal.,An omelette is sticky with oatmeal.,"Oatmeal is used for making porridge, not for making omelettes.",Omelettes are never made with oatmeal.
Coffee is made from coffee beans.,Lemonade is made from coffee beans.,"Lemonade is made using lemons, not coffee beans.",A coffee beans is smaller than a lemon.,"Coffee is usually served hot, lemonade is usually served cold.",Lemonade is made from lemons.,Lemonade is made from lemons.
Airplanes can fly quickly.,Airplanes can fly backwards.,Air plane propellers and jet engines can not suck a plane in reverse.,Planes fly right side up.,Planes only have wheels for take off and landing.,Airplanes can only move forward.,Airplanes only fly forward.
He saw his bike reflection in the water,he saw his bike reflection in the stone,Stone has a hard surface which cannot reflect things,Bike is normally bigger while stone is mostly smaller in size,There are many bikes in the street while stones are fewer,Stones are not reflective.,Stones are not reflective.
Cars drive on roads,Cars drive on rails,Cars have rubber wheels and don't run on track,Cars can run on tracks some places like maybe in Canada,Cars also sometimes have two wheels so who knows how they move,Car tires are not effective on rails.,Cars are not trains.
My sister eats cheese with dinner.,My sister eats wood with dinner.,Wood is not edible by human beings.,Wood is usually brown and has splinters.,My sister cannot consume wood.,Humans don't eat wood.,People do not eat wood.
Skis and stocks are used for skiing.,Cups and saucers are used for skiing.,One cannot ski with the help of cups and saucers.,Cups and saucers are used to serve tea for people involved in skiing.,People who ski  like to  drink tea in cups and saucers.,Cups and saucers cannot handle the weight of people.,Cups and saucers cannot be used to ski.
He kept books on the book shelf,He kept shoes on the book shelf,Shoes are to be kept in shoe rack not on book shelf,Shoes are to protect foot,Shoes are not for reading,Shoes aren't bought to be put on display.,Shoes should not put in the book shelf.
He plays volley ball everyday.,He plays kitchen everyday.,Kitchen is a place were we cook,Kitchen is palyed inside while volley ball is played outside,Kitchen cannot play volley ball,"you can not play a kitchen, a kitchen is a room.",Kitchen is not the name of a game.
The person walked over to the tree.,The tree walked over to the person.,A tree does not have legs to walk on.,A tree is not a person.,A tree is much larger than a person.,Trees can't walk.,Trees cannot walk.
my sister eats an an orange after lunch every day,my sister eats some sand after lunch every day,no one eats sand as food,sand is usually in granular-shapes just like some food,sand is too large for a girl's mouth,People do not eat sand.,Sand is not edible.
Eating too much fast food is unhealthy.,Eating too much lettuce is unhealthy,Lettuce is very healthy,Lettuce is often green,Lettuce has little taste.,Lettuce is good for you.,Lettuce is a healthy food.
She asked the Police Officer for directions to the Zoo.,She asked the Billy Goat for directions to the Zoo.,A Billy Goat can't give you directions.,The Billy Goat was eating grass but the Zoo was opening late.,The Billy Goat had never been to that Zoo.,Billy goats cannot speak or understand English.,People cannot talk to goats.
He drank a bottle of water.,He drank a square of water.,Square is not a proper container or measurement of water.,The water did not fit in the square.,The square was too round for the water.,"A square is 2D, water is 3D.",Water is not stored or measured in squares.
She open the window and let some fresh air into the room,She open the window and let someone fresh into the room,"Usually people enter into the room through door, cant do it through window",A window can have more number of openings,Some rooms may have more than one windows,People generally don't use a window to let in guests or visitors.,People don't come into a room through windows.
It was windy so they flew a kite.,It was hurricane so they flew a kite.,A hurricane would destroy a kite.,"Hurricanes form over the ocean, you can't fly a kite underwater.","Hurricanes make people evacuate, a kite can't fly by itself.",It is not safe to be out in a hurricane.,This act would be very stupid and dangerous.
They took the car into the parking,They took the car into the building,Cars cant get inside a building,Cars are small and buidlings are big,Buildings can`t get into the car,Cars don't belong in buildings.,Buildings themselves don't have entrances or areas designed for cars.
Fire is hot,Fire is wet,Fire involves heat and will evaporate liquids or consume them,Fire can be started from gasoline,Gasoline is wet,Fire is not wet.,Water is wet and can extinguish a fire.
My Aunt eats bacon for lunch.,My Aunt eats wooden chairs for lunch.,Wooden Chairs are not edible.,Boars Head makes Bacon packages.,Wooden Chairs have four legs painted brown.,Wooden chairs are not edible.,People do not eat wooden chairs.
Chips go in a bag,Dogs go in a bag,Dogs cannot breathe in bags,Dogs bark and bags are quiet,Dogs are loud and bags are quiet,a dog doesn't fit in a bag,Dogs would die if put in bags.
"Pies and cakes are usually made with flour, eggs, sugar, and butter","Pies and cakes are usually made with arsenic, cyanide and lye.","Arsenic, cyanide and lye are deadly and cannot be eaten.","Arsenic, cyande and lye don't taste good","Arsenic, cyanide and lye are not common ingredients",People don't make pies and cakes filled with deadly chemicals.,Poisons are not common ingredients for desserts.
She went to the hair salon for her hair appointment.,She went to the hair salon to get her teeth fixed.,The hair salon does not have dentists that do medical oral services.,"People do not got to the dentist at a hair salon, they go for their beauty services.",A hair salon cannot hold medical supplies or credentials.,The hair salon is not the dentist's office.,Hair salons do not have dentists.
