id,FalseSent,OptionA,OptionB,OptionC
3311,The kid caught a car.,A car is much heavier than a kid.,Kids are loud and cars are quiet.,Kids cannot catch cars.
3312,The mouse is smaller than the flea.,Fleas can live in the fur of animals.,Mice like to eat cheese.,Fleas are small creatures and are always smaller than mice.
3313,I drank too much water and cannot drive.,Water is not an intoxicant that affects one's driving.,Drinking water is very important to survival.,One should pay attention to the road when driving.
3314,The tree jumped over the fence.,Trees cannot jump.,Trees are big.,Fences have lines.
3315,The boy stung the bee's hand.,Bee has wings and stinger the boy has hands and does not fly.,The hands of the bees are the paws.,Bees have no hands nor does the sting boy.
3316,The old man wore soup to work.,Soup is not a piece of clothing.,Soup can be made with beef stock.,Many work places have dress codes.
3317,I answered the phone when it was not ringing.,The telephone is black and the ringing is beautiful.,The sound of the bell made the phone not ring.,You can only answer a phone when it rings.
3318,I poured the entire ocean in my cereal bowl.,The ocean has fish in it while the cereal bowl does not.,The ocean is too big for a cereal bowl.,The cereal bowl is not named after the ocean.
3319,I prefer bananas over apples.,Apples get soggy.,Bananas are not orange.,I think apples taste better than bananas.
3320,The computer caught itself,A computer is an inanimate object,The computer could not react in time,The computer jumped on purpose
3321,The journalist writes with a sandwich.,Pens can be used to draw pictures of sandwiches.,Sandwiches cannot be used to write.,A hungry journalist may eat a sandwich.
3322,I brush my eyes with toothpaste after eating breakfast.,Eyes are circles while teeth are squares.,Eyes can not tast the toothpaste.,Eyes do not need to be brushed with toothpaste.
3323,My wife put a house in the oven.,Homes are usually tan with green grass while an oven is hot.,A home can not fit inside the oven.,Ovens are only used for baking cookies.
3324,The baby drove to the store.,Baby are small and Men are drivers.,A baby does not know where the store is.,A baby cannot drive.
3325,he also put a bookshelf in his trunk,the bookshelf might fit if it was taken apart,the bookshelf might also fit on the roof of his car.,the bicycle fit in his car but the bookshelf no longer fits in his trunk
3326,I called my macaroni this morning.,Macaroni is not alive and cannot receive calls.,Macaroni can be eaten while making a call to someone.,People can talk about macaroni on a phone call.
3327,She walked a mile on the sun.,The sun is yellow.,Humans cannot walk on the sun.,She does not like the sun.
3328,He rode his apple to the store to buy a bicycle.,Stores that sell apples do not sell bicycles.,It is illegal to drive an apple on public roads.,An apple is not a vehicle.
3329,Corn is grown underwater.,Corn needs sunlight and water to grow.,Corn cannot grow in water.,"Corn can be yellow, white, or multi colored."
3330,He wore a hat on his button.,hats smell nicer than buttons,a button cannot dance,hats are bigger than buttons
3331,Alex lives in the piano,The piano is in the city,The piano is out of tune,A piano isn't big enough to live in
3332,He rides a basketball to work.,A basketball is round like a bicycle wheel.,A basketball and bicycle can both be used for outdoor activities.,No one rides a basketball.
3333,He parked the airplane in the garage.,Airplanes are usually red and garages are usually yellow.,An airplane is too big to fit into a garage.,Airplanes are usually short and garages are usually tall.
3334,She cooked the giraffe in the oven.,Fish live in water while a giraffe lives on land.,Fish are food but giraffes are not.,A giraffe is much bigger than a fish.
3335,I killed a bridge yesterday.,Deer are many times killed on or near bridges.,A bridge is not alive and cannot be killed.,Bridges can be used to transport a dead deer.
3336,the horse rides on me,a person can't stand the weight of a horse,the person is strong and the horse is thin,the horse will talk to the person
3337,The cat ran from the mouse.,A mouse is too small to scare a cat.,A cat can jump higher than a mouse.,Cats are not afraid of mice usually
3338,your mouth can listen to music,ears and mouth are different organs,ears can not eat,only your ears are able to listen
3339,I would like to buy a happy,Happies are too expensive,They sold out of happies,"Happy is a feeling, not something you can buy"
3340,He looked up the name of the president in the phone book.,President is the highest position in an orginization.,The phone book does not keep information on current events.,Phone books are sometimes yellow.
3341,I watched a perfume last night.,Perfume's have a lot of oader.,No one watches perfume.,Perfume's can be very expensive.
3342,Light bulbs use pudding to run.,Pudding is food and light bulbs are not food.,Pudding does not produce power.,Light bulbs do not eat.
3343,She rode a dinosaur to work,Dinosaurs are aggressive and would attack her,Dinosaurs have no sense of direction and would get lost,Dinosaurs are extinct
3344,The truck barked at the dog.,Dogs usually shed and trucks have wheels.,Dogs can be trained and trucks can be parked.,Trucks cannot bark or speak.
3345,Laura threw the sea at a rock.,The sea is a very large body of water that can not be thrown by a person.,Rocks sink in water.,Rocks are not living things.
3346,My dog wrote my homework,Dogs have paws not hands,Dog cannot write,dogs can't stomach homework
3347,Put water in a fridge to boil it,Fridge has a big door and water gets scared,Water in fridge will become cold,Fridge runs on electricity and water is a good conductor
3348,apples can be black,apples are healthy,an apple never turns black,apples are delicious
3349,The moon emits light to all the world.,"At night, you can see the moon and a star.",The moon is not a star.,"From earth, the moon appears bigger than a star."
3350,The clock is lazy,The clock is an object and cannot be lazy,The clock is known not to be lazy,The clock is fast and therefore cannot be lazy
3351,The chili was sexy,Chili is not an attractive food,Chili should be appreciated for its mind not just its body,Chili is a food and cannot be sexy
3352,Geese migrate to find colder weather for the summer.,It gets colder in winter and the geese want to have the same temperature all year so when it gets cold they move to where it is warmer.,It gets warmer in the summer and geese want it to be as cold as possible so when it gets warm they move to where it is colder.,It gets warmer in the winter and geese want it cold so they move to where it is colder.
3353,She put a candle in the freezer.,Ice cream has to be frozen.,Candles don't work in the freezer.,Candles don't belong in the freezer.
3354,Stones are kept in the  fridge so it can be used afterwards,Stones are not food item.,Stones are used to built a wall,Stones can be used  afterwards without keeping in fridge
3355,I called the post office to report a crime.,The post office can be very inefficient.,The post office has long lines.,The post office does not investigate crimes.
3356,He went to the bar on a plane.,Some planes have bars.,Planes don't fly to bars.,Some bars have pictures of planes.
