id,sent0,sent1
3591,A camera is for taking pictures of dolphins,A camera is for taking pictures
3592,Sometimes you can find a comic strip in a newspaper.,Sometimes you can find cheese in a newspaper.
3593,A vulture was flying low,A vulture was flying without wings
3594,I wipe my ass with sand paper.,I wipe my ass with toilet paper.
3595,He went to the hospital to buy groceries.,He went to the supermarket to buy groceries.
3596,He rode a horse.,He rode a cat.
3597,The man put a block in the microwave.,The man put a sandwich in the microwave.
3598,The library was filled with great books.,The library was filled with dead pets.
3599,"If you take a shower at the circus, the clowns might attack you.",You can go to the circus if you want to see clowns.
3600,The plumber came out this morning to fix the water pipes.,The plumber came out this morning to fix the gravy pipes.
3601,I purchased my favorite pants at a thrift store.,I purchased my favorite pants at a greenhouse
3602,The boy ate soup with a jackhammer.,The boy ate soup with a spoon.
3603,The young boy asked Santa for a new tricycle.,The young boy asked Satan for a new tricycle.
3604,The boy chased the cat,The cat played golf
3605,he likes to play games at his home,he likes to play games at his day job
3606,David swam up the road.,David ran up the road.
3607,I drank a glass of water.,I ate a glass of water.
3608,Hats are for your head,Hats are for your feet
3609,The toilet is set for dinner.,The dining room table is set for dinner.
3610,The battery to the pencil died.,The battery to the remote died.
3611,The car drove in the sky.,The car drove down the road.
3612,The secretary told the boss to fetch him a cup of tea,The boss told his secretary to fetch him a cup of tea.
3613,The color purple is a mixutre of Brown and Teal,The color purple is a mixture of Red and Blue
3614,I planted a puppy in the backyard.,I planted a tree in the backyard.
3615,I made coffee with tea bags at my house today.,I made coffee at my house with a coffee machine.
3616,The piano was sick.,The girl was sick.
3617,She dressed nicely in her new elephant.,She dressed nicely in her new clothes.
3618,"After their picnic, they swam in the river","After their picnic, they swam in a bath"
3619,A man stood on a cat.,A man stood on a roof.
3620,She hung a banana on the wall.,She hung a picture on the wall.
3621,I poured some coffee in the mug.,I poured some mug in the coffee
3622,She held a ballon in her hand,She held a ballon in her leg
3623,He got stuck in a peach on his way to work.,He got stuck in traffic on his way to work.
3624,He found a large amount of gold ore in cereal box.,He found a large amount of gold ore in the abandoned mine.
3625,My sister was 6 years old when she learned to ride her bike.,My sister was 6 years old when she learned to tie her bike.
3626,Something that might happen when you eat a cookie is you enjoy the iron,Something that might happen when you eat a cookie is you enjoy the taste
3627,She went home to buy groceries,She went to the store tobuy groceries
3628,The TV fell off of the dresser.,The dresser fell off of the TV.
3629,The closest hardware store was in the airport,The closest hardware store was in the next city
3630,Flowers bloom in seasons to be pricked in groups.,Flowers bloom in seasons to be plucked in groups.
3631,I went to sleep in a bed.,I went to sleep in a tree.
3632,The fire is burning coldly tonight.,The fire is burning hot tonight.
3633,Irish setter is a dog used to hunt wild birds,Wild birds hunt the Irish setter dog
3634,Debbie did her cooking on the computer.,Debbie did her work on the computer.
3635,She took her dog on a walk.,She took her toaster on a walk.
3636,she likes to watch videos,she like to taste videos
3637,He drove his truck onto the bridge,He drove his dishwasher onto the bridge
3638,Mary had to button 4 buttons on her shirt.,Mary had to button 4 leaves on her shirt.
3639,Children drink soda with pizza,Children drink wine with pizza
3640,A plane flies much higher than a kite.,The kite flies much higher than the plane.
3641,she drank 10 liters of water.,She drank a glass of water.
3642,A basketball could not bounce because it was full of icing.,A basketball will bounce if it is full of air.
3643,She gave the plant oil.,She gave the plant water.
3644,People go to the cinema because they like dancing,People go to the cinema because they like movies
3645,The dog went outside to play in the grass,The dog went into the bathroom to play in the grass
3646,The pilot flew the plane to the airport.,The pilot flew the garbage truck to the airport.
3647,People often watch TV while they are eating dinner.,People often sleep while they are eating dinner.
3648,The red rose grew in the garden.,The red rose grew on the moon.
3649,I received an email from my boss.,I received an email from my dog.
3650,She turns on the lamp.,She turns on the sun.
3651,He put his house key into the ignition to start his vehicle.,He put his car key into the ignition to start his vehicle.
3652,Pizza is a popular fast food choice,Gravel is a popular fast food choice
3653,The dog chased the cat up a tree.,The tree chased the dog up a building.
3654,You are likely to find a muscle in  a body..,You are likely to find a plant in your body.
3655,jOHN READ A BOOK,A BOOK PLACED ITSELF ON THE SHELF
3656,The man hit the baseball with his bat.,The bat hit the man with a baseball.
3657,It's important to scratch before rigorous exercise.,It's important to stretch before rigorous exercise.
3658,She mowed the concrete,She mowed the lawn
3659,"You would conquer your opponent, because you want to lose.","You would conquer your opponent, because you want to win."
3660,A Canary is a bird,All birds are Canaries
3661,Fire engines are always red in color,Fire engines are painted red and not always red in color
3662,The man sheered a sheep.,The man sheered a salmon.
3663,He put a child in the car seat,He put pudding in the car seat
3664,He ate chips and salsa at a restaurant.,He ate mirrors at a restaurant.
3665,Most people that live in Germany speak German.,Most people that live in China speak German.
3666,She went to the store for milk,she went to the store to milk a cow
3667,A tiger provides heat to a room.,A fireplace provides heat to a room.
3668,He went to the airport to board a plane.,He went to the airport to board a ship.
3669,Creams and lotions can be used for cooking.,Creams and lotions can be used for personal grooming.
3670,she like to run while jogging,she like to jog in the mall
3671,"The pot contained the ingredients for chicken soup, but the chef cleaned it.","The book contained the recipe for chicken soup, but the chef ignored it."
3672,He made green paint with blue and yellow paint.,He made green paint with red and yellow paint.
3673,She rode a bike to go to the station.,She rode a polar bear to go to the station.
3674,I love eating toasted cheese and tuna sandwiches,I love eating steam trains
3675,Banana is the day before friday.,saturday is the day after friday.
3676,He drank a coffee after lunch,He drank a spider after lunch
3677,You are likely to find a piece of information in a magazine.,You are likely to find a piece of cheese in a magazine.
3678,Walking is for going somewhere,Speaking is for going somewhere
3679,You should get a riding license if you want to ride a bike.,You should get a driving license if you want to drive a car.
3680,A person doesn't want to fall on their face,a person want to fall on their face
3681,Your eyes are in your mouth.,Your teeth are in your mouth.
3682,The first thing you do when you tape a television show is turn on the vcr,The first thing you do when you tape a television show is turn off the vcr
3683,They're cutting down trains.,They're cutting down trees.
3684,Something that might happen when you go to the hairdresser is getting your hair washed and dried,Something that might happen when you go to the hairdresser is getting your feet washed and dried
3685,cats must live in water,fishes must live in water
3686,Children like to make snowmen in winter,Children like to make snowmen in summer
3687,The Great Wall belongs to modern architecture,The Great Wall belongs to ancient architecture
